;Driver;DriverNumber;LapTime;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Year;EventName
0;GAS;10;0 days 00:01:19.106000;1.0;False;MEDIUM;1.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
1;GAS;10;0 days 00:01:12.412000;1.0;True;MEDIUM;2.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
2;GAS;10;0 days 00:01:11.311000;1.0;True;MEDIUM;3.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
3;GAS;10;0 days 00:01:10.725000;1.0;True;MEDIUM;4.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
4;GAS;10;0 days 00:01:11.511000;1.0;False;MEDIUM;5.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
5;GAS;10;0 days 00:01:12.028000;1.0;False;MEDIUM;6.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
6;GAS;10;0 days 00:01:11.173000;1.0;False;MEDIUM;7.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
7;GAS;10;0 days 00:01:10.912000;1.0;False;MEDIUM;8.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
8;GAS;10;0 days 00:01:10.827000;1.0;False;MEDIUM;9.0;True;AlphaTauri;1;14.0;2020;Austrian Grand Prix
9;GAS;10;0 days 00:01:10.970000;1.0;False;MEDIUM;10.0;True;AlphaTauri;1;14.0;2020;Austrian Grand Prix
10;GAS;10;0 days 00:01:10.953000;1.0;False;MEDIUM;11.0;True;AlphaTauri;1;13.0;2020;Austrian Grand Prix
11;GAS;10;0 days 00:01:10.762000;1.0;False;MEDIUM;12.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
12;GAS;10;0 days 00:01:10.844000;1.0;False;MEDIUM;13.0;True;AlphaTauri;1;12.0;2020;Austrian Grand Prix
13;GAS;10;0 days 00:01:10.712000;1.0;True;MEDIUM;14.0;True;AlphaTauri;1;11.0;2020;Austrian Grand Prix
14;GAS;10;0 days 00:01:10.939000;1.0;False;MEDIUM;15.0;True;AlphaTauri;2;11.0;2020;Austrian Grand Prix
15;GAS;10;0 days 00:01:10.733000;1.0;False;MEDIUM;16.0;True;AlphaTauri;1;11.0;2020;Austrian Grand Prix
16;GAS;10;0 days 00:01:10.535000;1.0;True;MEDIUM;17.0;True;AlphaTauri;1;11.0;2020;Austrian Grand Prix
17;GAS;10;0 days 00:01:10.672000;1.0;False;MEDIUM;18.0;True;AlphaTauri;1;11.0;2020;Austrian Grand Prix
18;GAS;10;0 days 00:01:10.568000;1.0;False;MEDIUM;19.0;True;AlphaTauri;1;11.0;2020;Austrian Grand Prix
